Metric,Value
std_mc_sens,0.4072164948453608
std_ai_sens,0.4252577319587629
std_mc_spec,0.9383205070167496
std_ai_spec,0.9989814395654142
std_p_value,1.3115631209700456e-61
pediatric_sens,0.6563573883161512
pediatric_spec,0.9780443639655952
standard_duration,368.9
stress_base_auc,0.9865913089013567
stress_base_ece,0.043555128751782635
stress_duration,2410.65
ablation_cases,100
ablation_duration,2.64
dca_status,Success
dca_baseline_n,10000
dca_duration,0.38
breaking_point_max_noise,0.5
breakingpoint_duration,3535.01
cnn_fpr,1.0
nb_fpr,0.0
comparative_duration,6.45
